OBJECTID,CIP_ID,MAJOR_SECT,PROJECT_CL,RESPONSIBL,CIP_TITLE,SHAPEarea,SHAPElen
158,2-047,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,UPTON DR EXTENDED/ DAM NECK ROAD IMPROVEMENTS,24723.23772523,557.390185553061
159,2-050,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,LANDSTOWN ROAD IMPROVEMENTS,82334.613428885,2587.63711873483
160,3-504,QUALITY PHYSICAL ENVIRONMENT,,PUBLIC WORKS,BEACH MAINTENANCE,837466.214684775,4748.50656713615
161,8-015,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,BEACH PROFILE MONITORING PROGRAM,6923226.36552147,152006.442994612
162,5-037,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,PACIFIC AVE WATER IMPROVEMENTS,159522.501427755,2540.06316667988
163,5-116,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,PROSPERITY ROAD WATER IMPROVEMENTS,212030.960125725,5470.57648304752
164,6-037,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,PACIFIC AVE SEWER IMPROVEMENTS,159522.501427755,2540.06316667988
165,6-116,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,PROSPERITY ROAD SEWER IMPROVEMENTS,93326.208403985,2839.45814139705
166,2-054,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,FERRELL PARKWAY,55315.764428325,2030.51364430429
167,2-056,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,PLEASURE HOUSE ROAD STREET IMPROVEMENTS,54934.32033356,1779.20875483432
168,2-057,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,PLEASURE HOUSE ROAD STREET IMPROVEMENTS - PHASE II,120658.914212175,3764.23883578268
169,2-058,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,PROVIDENCE ROAD SIDEWALK,41173.35748101,2424.47109922723
170,2-401,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,GREENWICH RD CROSSOVER & CLEVELAND ST IMPROVEMENTS,150380.981686335,1374.6843252284
171,3-025,QUALITY PHYSICAL ENVIRONMENT,BUILDINGS,PUBLIC WORKS,BIDG 2 ELECTRICAL UPGRADE,10798.5329042,368.374133698624
172,3-523,SAFE COMMUNITY,BUILDINGS,SHERIFF AND CORRECTIONS,CORRECTION CENTER MASTER CONTROL CENTER UPGRADE,49084.544046805,785.378433866537
173,9-009,ECONOMIC VITALITY,,SGA OFFICE,25TH STREET PUBLIC PARKING GARAGE,13929.563605445,526.489066718517
174,8-504,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,HARBOR POINT NEIGHBORHOOD DREDGING,11754.64674538,2331.39450412975
175,3-060,QUALITY EDUCATION AND LIFELONG LEARNING,,PUBLIC WORKS,TCC SITE IMPROVEMENTS II,726337.31013322,3546.20498563908
176,3-610,SAFE COMMUNITY,TECHNOLOGY,COMMUNICATIONS INFORMATION TECHNOLOGY,POLICE OCEANFRONT CAMERAS,228591.108646105,10905.3505309635
177,3-047,QUALITY PHYSICAL ENVIRONMENT,BUILDINGS,PUBLIC WORKS,LANFILL # 2 PHASE 1 CAPPING,1011347.95455149,3564.97738055819
178,9-007,ECONOMIC AND TOURISM,,STRATEGIC GROWTH AREA,RESORT PUBLIC TRANSIT RELOCATION,3880447.99185824,6983.08602693106
179,2-078,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,SANDBRIDGE AREA ACCESS IMPROVEMENTS,151188.595110095,4236.32333414833
180,8-016,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,GILLS COVE NEIGHBORHOOD DREDRING,255729.362829445,3184.80918937499
181,9-015,ECONOMIC VITALITY,ECONOMIC AND TOURSIM DEVE,PUBLIC WORKS,PROPOSED ARENA INFRASTRUCTURE DEVELOPMENT - ON SIT,286448.04483593,3188.04592521069
182,9-017,ECONOMIC VITALITY,ECONOMIC AND TOURSIM DEVE,PUBLIC WORKS,PROPOSED ARENA INFRASTRUCTURE DEVELOPMENT - OFF SI,286448.04483593,3188.04592521069
183,7-032,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,FLOOD MITIGATION ASSISTANCE GRANT PROGRAM,41183.01782331,719.392118284981
184,7-032,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,FLOOD MITIGATION ASSISTANCE GRANT PROGRAM,41159.704070935,719.188465088729
185,7-032,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,FLOOD MITIGATION ASSISTANCE GRANT PROGRAM,41190.117285495,719.454125326123
186,7-032,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,FLOOD MITIGATION ASSISTANCE GRANT PROGRAM,42151.776986695,727.804159408272
187,7-032,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,FLOOD MITIGATION ASSISTANCE GRANT PROGRAM,41663.60872907,723.577463913074
188,7-032,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,FLOOD MITIGATION ASSISTANCE GRANT PROGRAM,40614.32580825,714.407846981272
189,7-032,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,FLOOD MITIGATION ASSISTANCE GRANT PROGRAM,40837.490154065,716.36790542744
190,1-005,QUALITY EDUCATION AND LIFELONG LEARNING,SCHOOLS,SCHOOLS,GREEN RUN HIGH COLLEGIATE RENOVATIONS,319272.9615072,2257.84737189817
191,2-003,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,CORPORATE LANDING ROADWAY IMPROVEMENTS,7299.976971735,302.877880405579
192,2-088,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,WEST NECT ROAD PHASE IV,123650.693203435,4858.98819001567
193,7-034,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,STORMWATER OPERATIONS MODULAR BUILDING,288426.29293052,2313.63002052766
194,5-043,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,LANDSTOWN ROAD SEWER IMPROVEMENTS,26703.831858875,1171.39605986889
195,6-043,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,LANDSTOWN ROAD SEWER IMPROVEMENTS,26703.831858875,1171.39605986889
196,4-039,CULTURAL AND RECREATIONAL OPPORTUNITIES,PARKS & RECREATION,PARKS AND RECREATION,PAAC MULTI-PURPOSE ATHLETIC FIELD RENOVATION,426042.93770068,2845.24667408315
197,3-065,QUALITY PHYSICAL ENVIRONMENT,BUILDINGS,PUBLIC WORKS,CENTRAL PLANT GENERATOR,8891.32559187,334.264331532942
198,8-505,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,HURDS COVE DREDGING,1132966.58670278,9848.74438022904
