OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,CENSUSBLOCKGROUP,SHAPEarea,SHAPElen
214,51,810,041600,2,518100416002,Block Group 2,G5030,S,326539,0,+36.8623554,-076.1291040,0416002,511081.078071041,3733.82726717163
215,51,810,044807,4,518100448074,Block Group 4,G5030,S,561854,24907,+36.8464493,-076.0452611,0448074,917986.436889735,4693.33096609146
216,51,810,044600,2,518100446002,Block Group 2,G5030,S,2636761,1220003,+36.8726821,-076.0179062,0446002,6038153.54169991,13814.4312607373
217,51,810,045422,1,518100454221,Block Group 1,G5030,S,2515402,57577,+36.7672922,-076.0717266,0454221,4016825.54217631,10488.3854916436
218,51,810,045420,1,518100454201,Block Group 1,G5030,S,1505000,0,+36.7571063,-076.0030750,0454201,2349143.19398563,8606.31806935035
219,51,810,042802,3,518100428023,Block Group 3,G5030,S,454615,0,+36.8318379,-076.0780426,0428023,710975.386285257,4498.40181736628
220,51,810,045417,1,518100454171,Block Group 1,G5030,S,3178326,17574,+36.7811285,-076.0607386,0454171,4991476.09486584,10784.0228171706
221,51,810,043400,1,518100434001,Block Group 1,G5030,S,703607,0,+36.9023835,-075.9905927,0434001,1102397.43717662,8065.4323254213
200,51,810,041002,2,518100410022,Block Group 2,G5030,S,907334,0,+36.8390223,-076.1515718,0410022,1419254.93931676,7215.93658907182
201,51,810,042600,2,518100426002,Block Group 2,G5030,S,1296158,0,+36.8401647,-076.0795338,0426002,2027520.74884085,8150.14252901703
202,51,810,043800,1,518100438001,Block Group 1,G5030,S,404788,0,+36.8679302,-075.9805268,0438001,633651.95312399,5506.22112425507
203,51,810,040404,1,518100404041,Block Group 1,G5030,S,2630969,444129,+36.8805409,-076.1630485,0404041,4815036.33107844,8773.89733956297
204,51,810,041600,3,518100416003,Block Group 3,G5030,S,1053316,289323,+36.8751080,-076.1233660,0416003,2102085.47530905,8324.12298443872
205,51,810,045408,3,518100454083,Block Group 3,G5030,S,3235632,0,+36.7899100,-076.0214258,0454083,5054759.54895121,15582.4901517222
206,51,810,044805,1,518100448051,Block Group 1,G5030,S,697054,68725,+36.8485194,-076.0139235,0448051,1198161.42596679,5536.02341212606
207,51,810,046015,2,518100460152,Block Group 2,G5030,S,697201,0,+36.7697071,-076.1187948,0460152,1088609.6909849,4930.6938232119
208,51,810,040801,2,518100408012,Block Group 2,G5030,S,539868,0,+36.8667134,-076.1374540,0408012,845069.500635548,5279.77495737431
209,51,810,045801,2,518100458012,Block Group 2,G5030,S,470880,0,+36.8254415,-076.1162135,0458012,736294.805981514,3485.21004068031
210,51,810,044003,4,518100440034,Block Group 4,G5030,S,234347,0,+36.8407975,-075.9821124,0440034,366586.003476196,2599.47025491622
211,51,810,042600,1,518100426001,Block Group 1,G5030,S,1369385,301939,+36.8437892,-076.0655829,0426001,2614707.2386809,7394.96153229357
212,51,810,046222,2,518100462222,Block Group 2,G5030,S,482980,26599,+36.7746465,-076.1856254,0462222,795770.729943049,3855.95542443964
234,51,810,040200,2,518100402002,Block Group 2,G5030,S,1211406,0,+36.8662393,-076.1854020,0402002,1896223.4416073,7485.82531327554
235,51,810,042400,1,518100424001,Block Group 1,G5030,S,597594,56451,+36.8524298,-076.0963984,0424001,1023419.95532708,5355.8996748496
236,51,810,041801,3,518100418013,Block Group 3,G5030,S,467278,2488,+36.9018417,-076.1450295,0418013,736012.831205395,3859.66543373422
237,51,810,044401,2,518100444012,Block Group 2,G5030,S,1902515,247592,+36.8715985,-076.0498164,0444012,3366067.74517115,7916.54284465188
238,51,810,044004,2,518100440042,Block Group 2,G5030,S,536993,0,+36.8549093,-075.9797119,0440042,840316.692445401,4019.22686640544
239,51,810,045408,1,518100454081,Block Group 1,G5030,S,1067583,0,+36.7956561,-076.0055177,0454081,1668039.28378459,6357.33604578322
240,51,810,046009,1,518100460091,Block Group 1,G5030,S,2061618,172651,+36.8388489,-076.1688518,0460091,3494796.20552664,9794.22662816171
241,51,810,046207,2,518100462072,Block Group 2,G5030,S,444396,0,+36.7891852,-076.1873999,0462072,694230.722707324,4024.58895543339
242,51,810,046214,2,518100462142,Block Group 2,G5030,S,353167,0,+36.7929096,-076.1380154,0462142,551764.750939202,3176.15462913101
243,51,810,046213,3,518100462133,Block Group 3,G5030,S,436237,443,+36.7928868,-076.1651893,0462133,682244.348204035,4097.21813816555
244,51,810,040200,1,518100402001,Block Group 1,G5030,S,3651604,90610,+36.8849828,-076.1874510,0402001,5861053.7403386,11727.420281072
245,51,810,046212,3,518100462123,Block Group 3,G5030,S,877213,0,+36.8038971,-076.1509180,0462123,1370893.98006841,5176.79695528784
222,51,810,041801,2,518100418012,Block Group 2,G5030,S,736555,0,+36.9048874,-076.1334885,0418012,1154093.30832461,6135.35353699173
223,51,810,041600,1,518100416001,Block Group 1,G5030,S,606429,283632,+36.8599912,-076.1238245,0416001,1393011.94052624,7342.12644973239
224,51,810,040404,4,518100404044,Block Group 4,G5030,S,360021,0,+36.8825165,-076.1795880,0404044,563782.185012155,3080.51217017169
225,51,810,046224,3,518100462243,Block Group 3,G5030,S,532467,0,+36.7814708,-076.1554122,0462243,831643.591879898,4066.50220453908
226,51,810,046006,2,518100460062,Block Group 2,G5030,S,587433,0,+36.8109080,-076.1456969,0460062,918197.094963063,4042.29647524642
227,51,810,040801,3,518100408013,Block Group 3,G5030,S,378245,0,+36.8680281,-076.1430651,0408013,592099.586964614,3479.59213617545
228,51,810,041400,3,518100414003,Block Group 3,G5030,S,1438446,353277,+36.8834664,-076.1241758,0414003,2805752.09023896,8135.46604782659
229,51,810,045601,2,518100456012,Block Group 2,G5030,S,823415,22858,+36.8457124,-076.1170542,0456012,1323998.31328978,5075.52828324747
230,51,810,046014,3,518100460143,Block Group 3,G5030,S,644661,46136,+36.7789951,-076.1165706,0460143,1078927.21538444,5124.06224112718
231,51,810,046013,2,518100460132,Block Group 2,G5030,S,296527,49325,+36.7898080,-076.1047180,0460132,540300.023472066,4146.33314194347
232,51,810,042801,1,518100428011,Block Group 1,G5030,S,510969,0,+36.8350462,-076.0925300,0428011,799181.582278562,3792.40093827786
233,51,810,044805,2,518100448052,Block Group 2,G5030,S,875167,0,+36.8462479,-076.0297530,0448052,1369189.03753581,5611.00966805758
262,51,810,046012,1,518100460121,Block Group 1,G5030,S,966706,0,+36.8061407,-076.1256567,0460121,1510831.49470209,5540.52069706543
263,51,810,046212,2,518100462122,Block Group 2,G5030,S,590700,64797,+36.7997492,-076.1573452,0462122,1024255.08744863,4275.35408351976
264,51,810,042202,4,518100422024,Block Group 4,G5030,S,466764,0,+36.8508020,-076.0884669,0422024,730336.965596772,3457.43869432327
265,51,810,044200,2,518100442002,Block Group 2,G5030,S,608619,0,+36.8401165,-075.9901717,0442002,952032.790397704,4403.91229521101
266,51,810,045421,1,518100454211,Block Group 1,G5030,S,1232230,0,+36.7620264,-076.0520598,0454211,1923613.23039071,8570.36724720111
267,51,810,043003,1,518100430031,Block Group 1,G5030,S,547661,0,+36.9107383,-076.0726034,0430031,858247.742900354,3797.9716044389
268,51,810,045806,3,518100458063,Block Group 3,G5030,S,311944,0,+36.8180246,-076.1077478,0458063,487676.419492102,2920.91378173862
269,51,810,044200,3,518100442003,Block Group 3,G5030,S,651463,32660,+36.8324859,-075.9879868,0442003,1069947.48017785,5557.29664608887
270,51,810,042801,3,518100428013,Block Group 3,G5030,S,560229,0,+36.8241196,-076.0819036,0428013,875975.003093452,5885.42800109889
271,51,810,044003,3,518100440033,Block Group 3,G5030,S,531946,105782,+36.8329333,-075.9810230,0440033,997375.179133766,4316.68648157838
272,51,810,041801,1,518100418011,Block Group 1,G5030,S,789120,226363,+36.9149102,-076.1362516,0418011,1591517.5702272,6141.23817434455
273,51,810,045810,1,518100458101,Block Group 1,G5030,S,693108,0,+36.7986333,-076.1048042,0458101,1083028.09668676,4752.33694839575
274,51,810,043800,2,518100438002,Block Group 2,G5030,S,1680523,271271,+36.8655555,-075.9901797,0438002,3055212.93933065,7704.8237089411
275,51,810,043002,2,518100430022,Block Group 2,G5030,S,2826795,1062611,+36.8909902,-076.0480569,0430022,6092218.51617037,12885.2094708519
246,51,810,046005,3,518100460053,Block Group 3,G5030,S,509039,28877,+36.8299839,-076.1487043,0460053,841190.71367322,3912.72123814849
247,51,810,046222,1,518100462221,Block Group 1,G5030,S,1018155,8862,+36.7837049,-076.1815306,0462221,1604111.7412146,5840.72375508976
248,51,810,040000,1,518100400001,Block Group 1,G5030,S,2716535,501553,+36.9186810,-076.1533847,0400001,5044207.64282487,10762.6495405654
249,51,810,046224,1,518100462241,Block Group 1,G5030,S,285980,0,+36.7826028,-076.1506438,0462241,446679.0753828,2954.09947243892
250,51,810,042400,2,518100424002,Block Group 2,G5030,S,479273,0,+36.8439701,-076.0953485,0424002,749781.532114989,3444.93274653511
251,51,810,041400,1,518100414001,Block Group 1,G5030,S,3268929,1086463,+36.8958032,-076.1219463,0414001,6822692.2243018,14709.1437660388
252,51,810,045809,1,518100458091,Block Group 1,G5030,S,472090,0,+36.8096868,-076.1021679,0458091,737888.064488407,3568.34375329033
253,51,810,045427,3,518100454273,Block Group 3,G5030,S,727818,39465,+36.7802930,-075.9816563,0454273,1198386.29614356,5123.15718592613
254,51,810,045000,1,518100450001,Block Group 1,G5030,S,21468385,0,+36.8137728,-076.0309111,0450001,33558982.17872,29446.6507107765
255,51,810,045200,3,518100452003,Block Group 3,G5030,S,6025327,266845,+36.7808510,-075.9614187,0452003,9827155.0207831,17625.7621719367
256,51,810,046016,1,518100460161,Block Group 1,G5030,S,5941323,0,+36.7516168,-076.1245870,0460161,9272827.20882879,18864.6348297852
257,51,810,046002,3,518100460023,Block Group 3,G5030,S,202000,0,+36.8143823,-076.1832797,0460023,315768.310909675,3509.46370663181
258,51,810,040801,4,518100408014,Block Group 4,G5030,S,429917,0,+36.8619824,-076.1429318,0408014,672879.377487875,3404.01186179857
259,51,810,044806,3,518100448063,Block Group 3,G5030,S,1225288,92742,+36.8407013,-076.0354433,0448063,2061766.57992306,7988.14163898846
260,51,810,046010,1,518100460101,Block Group 1,G5030,S,354587,6303,+36.8335740,-076.1848350,0460101,564452.136539549,3202.40527700887
261,51,810,041200,3,518100412003,Block Group 3,G5030,S,1185550,98297,+36.8751745,-076.1483307,0412003,2010093.88502884,6542.12261454897
293,51,810,040404,2,518100404042,Block Group 2,G5030,S,1351472,265275,+36.8819277,-076.1732197,0404042,2531721.52683571,9301.65197251064
294,51,810,045428,1,518100454281,Block Group 1,G5030,S,3845520,125561,+36.7934487,-075.9876614,0454281,6204437.45704585,14777.6217414888
295,51,810,045405,1,518100454051,Block Group 1,G5030,S,433414,0,+36.8084936,-076.0961285,0454051,677410.190502751,3451.03808368468
296,51,810,045801,3,518100458013,Block Group 3,G5030,S,1461074,308880,+36.8255139,-076.1270087,0458013,2767808.7843596,9809.03890262129
297,51,810,041003,1,518100410031,Block Group 1,G5030,S,519989,0,+36.8548253,-076.1424662,0410031,813704.260216024,3834.79426656913
298,51,810,040402,1,518100404021,Block Group 1,G5030,S,829367,0,+36.8677226,-076.1626154,0404021,1298266.77140938,5571.48076129656
299,51,810,046216,3,518100462163,Block Group 3,G5030,S,1041556,0,+36.7724112,-076.1429644,0462163,1626398.8899651,5981.46992316793
300,51,810,045412,1,518100454121,Block Group 1,G5030,S,19163885,6169601,+36.7328686,-075.9584641,0454121,39511135.8981545,31504.1471288323
301,51,810,044807,1,518100448071,Block Group 1,G5030,S,512572,0,+36.8521798,-076.0279575,0448071,802039.270558012,3884.62029379184
302,51,810,046012,3,518100460123,Block Group 3,G5030,S,410943,0,+36.7978802,-076.1124957,0460123,642114.642075573,4034.04168847397
276,51,810,043800,3,518100438003,Block Group 3,G5030,S,630594,35674,+36.8688382,-075.9836925,0438003,1042992.25151734,7435.04359916559
277,51,810,990100,0,518109901000,Block Group 0,G5030,S,0,493661126,+36.8487400,-075.9723587,9901000,772361509.034826,195601.013214814
278,51,810,045603,2,518100456032,Block Group 2,G5030,S,413802,0,+36.8419044,-076.1307406,0456032,647322.140341812,3674.51608792371
279,51,810,043400,2,518100434002,Block Group 2,G5030,S,713636,0,+36.9022146,-075.9935755,0434002,1118102.37424976,8869.32880447546
280,51,810,046400,1,518100464001,Block Group 1,G5030,S,75267889,51441629,+36.6580015,-075.9475985,0464001,197234292.258112,73422.4920418463
281,51,810,046015,1,518100460151,Block Group 1,G5030,S,4745506,78913,+36.7655219,-076.1059636,0460151,7532483.69155757,15568.9002592794
282,51,810,046014,1,518100460141,Block Group 1,G5030,S,1190411,13358,+36.7882746,-076.1193187,0460141,1880530.09981888,6659.97546816902
283,51,810,046015,3,518100460153,Block Group 3,G5030,S,355964,0,+36.7770151,-076.1164308,0460153,555905.318752994,4821.87865316414
284,51,810,045809,4,518100458094,Block Group 4,G5030,S,134510,0,+36.8100876,-076.1075352,0458094,210245.38539858,2164.50844811203
285,51,810,044402,3,518100444023,Block Group 3,G5030,S,992047,0,+36.8570511,-076.0359338,0444023,1552491.88212557,8601.43200990044
286,51,810,045405,4,518100454054,Block Group 4,G5030,S,348712,0,+36.7983794,-076.0959010,0454054,544884.975271433,3053.47172000267
287,51,810,046223,1,518100462231,Block Group 1,G5030,S,560212,210918,+36.7918530,-076.1748152,0462231,1204721.14463776,5225.8027385486
288,51,810,046206,2,518100462062,Block Group 2,G5030,S,1398245,21453,+36.8078449,-076.1830207,0462062,2218799.06131821,6601.87334206295
289,51,810,046217,2,518100462172,Block Group 2,G5030,S,4275917,968077,+36.7689349,-076.1650951,0462172,8187602.7736016,14479.9762715171
290,51,810,045405,3,518100454053,Block Group 3,G5030,S,332234,0,+36.7985885,-076.0901990,0454053,519138.900576615,3158.16924358153
291,51,810,043004,2,518100430042,Block Group 2,G5030,S,672921,29359,+36.9118660,-076.0587420,0430042,1100602.27151921,5698.35662432018
292,51,810,046010,2,518100460102,Block Group 2,G5030,S,952630,66753,+36.8357254,-076.1891583,0460102,1594358.29432415,5590.44991503377
