name,styleUrl,styleHash,Contact Names,Phone,lon,lat
Fauquier High School,#0,5541b804,Margaret Humphries,540-347-6100,-77.814953546925,38.718632864464
Ferrum College and Smith Mountain Lake Water Quality Program,#0,5541b804,Dr. Carolyn L. Thomas,540-4368,-80.022463483389,36.92767594572
Ferrum College- Environmental Science Program,#0,5541b804,"Todd Fredericksen, Dr.",540-365-4360,-80.013369646555,36.922919747642
Ferrum Outdoors,#0,5541b804,Dan Caston,540/365-4442,-80.024148505456,36.926564856882
Fieldale-Collinsville Middle School,#0,5541b804,Shanna Francisco-King,276-656-5493,-79.870530768833,36.739407825739
Fine Arts Center for New River Valley,#0,5541b804,Judy Ison,540-980-7363,-80.780603664034,37.047526614023
First Landing State Park,#0,5541b804,Fred Hazelwood,757-412-2300,-76.05274858382,36.918526913133
Fishburn Park Elementary School,#0,5541b804,Ashley Ring,540-761-4486,-79.972929502622,37.248778152315
Fishburn Park Elementary School,#0,5541b804,Ashley Ring,540-853-2931,-79.983548872433,37.240330497383
Flint Hill School (VaN School),#0,5541b804,Thomas  Whitworth,703-584-2300,-77.319755372897,38.870374605466
Flora Crittenden Middle School,#0,5541b804,"Jacob M. Wilson, III",757-272-9003,-76.49395743046,37.073212880219
Flower Camp on the James River,#0,5541b804,Nancy Ross Hugo,804-339-2338,-78.638177229544,37.707608067998
Floyd County High School,#0,5541b804,Tony Deibler,540-745-9450,-80.311290828549,36.907523487684
Forest Middle School,#0,5541b804,Debby Foran,434-525-6630,-79.313833650834,37.368343939017
Fort Defiance High School,#0,5541b804,Cindy Schroer,540-245-5050,-78.973242553198,38.247246883529
Fort Lewis Elementary School (VaN School),#0,5541b804,Cindy Klimaitis,540-387-6594,-80.11309836139,37.282024638735
Fort Pickett- Environmental Program,#0,5541b804,J.B. Daniel,434-298-6393,-77.997224505081,37.08042832335
Foundation for Virginia's Natural Resources,#0,5541b804,Jay Gilliam,434.977.6555,-79.207267656858,37.921798095469
Franklin High School,#0,5541b804,Linda G. Staylor,434-298-7847,-76.923733976206,36.677203246478
Frederick County Public Schools,#0,5541b804,Kelley Aitken,540-662-3888,-78.186709847169,39.190136263502
Frederick County Solid Waste/Recycling,#0,5541b804,Gloria Puffinburger,540-665-5643,-78.162401366241,39.184220318472
Freedom High School,#0,5541b804,Darin Thompson,703-583-1405,-77.436711845833,38.635584251183
Friends of Accotink Creek,#0,5541b804,Friends of Accotink Creek,NO PHONE,-77.204030830972,38.792145909136
Friends of Black's Run Greenway,#0,5541b804,John B. Reeves,540. 433. 9358,-80.77978873718,37.047898313796
Friends of Chesterfield's Riverfront,#0,5541b804,Mark Endries,no phone,-77.507749882227,37.376831319294
Friends of Claytor Lake,#0,5541b804,,540-674-0166,-80.779792551735,37.047901197192
Friends of Dragon Run,#0,5541b804,Davis Rhodes,757-484-9522,-76.54513557871,37.415547354142
Friends of Dyke Marsh,#0,5541b804,Glenda Booth,703-765-5233,-77.055021171873,38.74747590588
Friends of Forest Hill Park- Clean City Commission Task Force,#0,5541b804,Monica Rumsey,804-233-7361,-77.481475361055,37.517270881791
Friends of James River Park,#0,5541b804,Ralph White,804‐646‐8911,-77.449428275674,37.550493713202
Friends of Pocahontas State Park,#0,5541b804,Dan Quesenberry,804-796-4472,-77.580910992041,37.384554812715
Friends of Rockfish Watershed (FOR Watershed),#0,5541b804,,,-78.870745406351,37.759809531424
Friends of Runnymeade Park-Herndon,#0,5541b804,Ann H. Csonka,,-78.656891264259,37.431576389116
Friends of Stafford Creeks,#0,5541b804,Patricia Kurpiel,540-657-6674,-77.29957012792,38.353771216018
Friends of the Blue Ridge Parkway,#0,5541b804,"Susan J. Mills, Executive Director",540-772-2992,-79.991426832649,37.225065782792
Friends of the North Fork of the Shenandoah River,#0,5541b804,Leslie Mitchell,540-459-9550,-78.507990394712,38.882588691099
Friends of the Occoquan,#0,5541b804,German Vanegas,703-624-7124,-77.367145618192,38.708827765931
Friends of the Onancock School,#0,5541b804,Donna Ware,757-302-1331,-75.747304323126,37.709626151933
Friends of the Pedlar,#0,5541b804,Judy Strang,434-922-7510,-79.261760311651,37.585759841304
Friends of the Potomac River Refuges,#0,5541b804,Joan Patterson,703-636-4115,-77.264309008468,38.676636525636
Friends of the Rappahannock,#0,5541b804,Daria Blom,540-373-3448,-77.484708882636,38.316658396652
Friends of the Rivers of Virginia,#0,5541b804,Bill Tanger,540-266-0237,-79.947806277994,37.373470652595
Friends of the Shenandoah River,#0,5541b804,Karen Anderson,540-665-1286,-78.157908069374,39.169113382652
Fries Middle School,#0,5541b804,Susie Funk,276-773-2832,-81.146244713253,36.622277688894
Front Royal Grotto,#0,5541b804,Janet Tinkham,540-933-6850,-78.518496288436,38.754880104647
Frontier Culture Museum,#0,5541b804,Sarah Puckett,540-332-7850,-79.042729410575,38.133986123905
Fuqua School,#0,5541b804,Liz Hodges,434-392-4131,-78.473981161287,37.063705865391
"Game and Inland Fisheries (VA), Department of",#0,5541b804,"Suzie Gilley, Wildlife Education",804-367-1000,-77.481660478032,37.572667357465
Garden City Elementary School,#0,5541b804,Jonathan Pait,540-853-2859,-79.940049405898,37.283444999418
Gateway Streetscape Foundation,#0,5541b804,Gerald Lawicki,276-634-4601,-79.893081990449,36.741286587458
"General Services, Department of",#0,5541b804,Ed Gully,804-786-3263,-77.43341638678,37.537628599158
George Mason University,#0,5541b804,Dan Waxman,,-77.085350341043,38.886522821339
George Mason University Sustainability Institute,#0,5541b804,Jenny Upton,703-993-5301,-77.306370355642,38.84622444879
George Rogers Clark Elementary School,#0,5541b804,Gertrude A. Ivory,434-245-2939,-78.48365133898,38.053256244075
George Washington Regional Commission,#0,5541b804,Tim Ware,540-373-2890,-77.45738674753,38.29788655388
"Georgetown School, The",#0,5541b804,Gale Robinson,804-723-3460,-77.38886490668,37.687487550176
Gesher Jewish Day School,#0,5541b804,Zvi Schoenburg,703-978-9789,-77.347897523645,38.839150883144
Get Out In Nature Group,#0,5541b804,Katie Cartwright,,-77.484751728883,37.768681778938
Gibson Magnet School (VaN School),#0,5541b804,Kenny Lewis,434-799-6426,-79.401735672155,36.572020523298
Giles County Public Service Authority,#0,5541b804,Anita Purdue,(540) 921-2525,-80.736698997542,37.329040179699
Girl Scout Commonwealth Council,#0,5541b804,Beth Fellenstein,804-764-3322,-77.3763644922,37.605051488729
Girl Scout Council of Colonial Coast,#0,5541b804,Marcy Gemanotta,757-547-4405,-76.270126482305,36.711194377881
Girl Scouts of Virginia Skyline Council,#0,5541b804,"Sylvie Peterson, Program Director",540-777-5103,-79.992750993891,37.324145224821
Givens Elementary School,#0,5541b804,Heather Keen,276-991-0016,-82.08012833586,36.900942312756
Glade Spring Middle School,#0,5541b804,Bill Lester,276-739-3800,-81.774206348482,36.779670997076
Glebe Elementary School,#0,5541b804,"Ann Calby, Librarian",703-228-6280,-77.120833116659,38.89250427435
Glen Allen Elementary School,#0,5541b804,Theresa Harris,804-756-3040,-77.522705217995,37.678713767753
Glen Cove Elementary School,#0,5541b804,"Jan S. Nichols, Principal",540-561-8135,-80.022032578529,37.320980579565
Glenvar High School,#0,5541b804,Joe Hafey,540-387-6536,-80.138064182472,37.279128027548
Glenvar Middle School,#0,5541b804,Sharon Hill,540-387-6322,-80.138436237409,37.27914189657
Glenwood Elementary School,#0,5541b804,Susan Stuhlman,757-648-2520,-76.139373365608,36.773785371933
Gloucester Clean Community,#0,5541b804,William A. Bell,804-693-5370,-76.535191379961,37.416395051688
Going Green Program - City of Winchester,#0,5541b804,Michael Neese,540-667-1815,-78.162568535935,39.177514990067
Gold Hill Elementary School,#0,5541b804,Heather Page,434-983-2861,-78.511058627038,37.54131503446
Goochland Anti-Littering and Recycling Council,#0,5541b804,K. Leigh Dunn,804-556-5850,-77.890066130784,37.697350268795
Goochland High School (VaN School),#0,5541b804,Michael Newman,804-556-5322,-77.896409406973,37.699713854262
Good Shepherd Episcopal School (VaN School),#0,5541b804,Michael Woodruff,804-231-1452,-77.479062814184,37.519124405028
Goose Creek Association,#0,5541b804,Andrea Rosse,(540) 687-3073,-77.809626529416,38.976032895804
"Governor's School, Maggie Walker, The",#0,5541b804,David Barnes,804-354-6800,-77.454681437413,37.559580966906
Grace Christian School,#0,5541b804,Liz Middleton,540-886-9109,-79.07036307993,38.148979071006
Grace E. Metz Middle School,#0,5541b804,C. Mattia,703-257-8600,-77.462322122338,38.742567147454
Grafton Bethel Elementary School (VaN School),#0,5541b804,Dr. Karen Grass,757-898-0350,-76.453253478779,37.147783371237
Grayson Highlands Elementary School,#0,5541b804,Susie Funk,276-773-2832,-81.146247532749,36.62228071399
Great Bridge Battlefield and Waterways History Foundation,#0,5541b804,Jean Carideo,757-410-7067,-76.216902864375,36.594127986554
Great Dismal Swamp National Wildlife Refuge,#0,5541b804,Visitor Services,757-986-3705,-76.561366137801,36.617772172408
Greater Richmond Chamber of Commerce,#0,5541b804,Kim Scheeler,804-648-1234,-77.438985272549,37.539837577554
Greater Shenandoah Valley Environmental Education Alliance,#0,5541b804,Tamra Willis/Betty Gatewood,540-887-7135,-79.071693704268,38.149579437484
Green Adventure Project,#0,5541b804,Mike Bruscia,434.293.4270,-78.530563487339,37.942510860632
GREEN Alternatives,#0,5541b804,Amanda Mason,757-457-8991,-76.292434680683,36.867725328703
Green Earth Recycling of Virginia,#0,5541b804,,804-639-3343,-77.533212837204,37.466346898886
Green Jobs Alliance,#0,5541b804,Randy Flood,703-732-9049,-76.664380556575,37.233827695661
"Green Seahorse media, LLC: The marlin and the Mermaid ""Help Save the Bay",#0,5541b804,Daniel. R. Ford,757-575-6352,-76.014504402579,36.682270778613
Greenbrier Intermediate School,#0,5541b804,John Sammons,757-578-7080,-76.219085393863,36.78622751793
Greendale Elementary School,#0,5541b804,Allyson Willis,276-739-3500,-82.043965586427,36.750970295271
Greensville Elementary School,#0,5541b804,Alicia Hargrove,434-634-3748,-77.543111735071,36.688256321326
Greenwood Elementary School,#0,5541b804,"Debra Smith, Principal",804-261-2970,-77.486924278935,37.671651772989
Greenwood Partnership,#0,5541b804,Randall Scott Vaughn,804-847-3400,-79.142435394444,37.414578105849
Grymes Memorial School (VaN School),#0,5541b804,,540-672- 9167,-78.136353420737,38.254330798154
Guest River Restoration Project,#0,5541b804,Danielle Dutton,276-926-6621,-82.466590933104,37.14964129015
Halifax County Improvement Council,#0,5541b804,"Jennifer Hochstein, Director",434-222-9448,-79.09696743605,36.718592760279
Halifax High School,#0,5541b804,Linda G. Staylor,434-298-7847,-78.922476408288,36.766922543162
Halifax Middle School,#0,5541b804,Linda G. Staylor,434-298-7847,-78.922480267843,36.766921762339
Hampton Clean City Commission,#0,5541b804,Debbie Blanton,757-727-6394,-76.342990369328,37.028194895649
Hampton Roads Agricultural Research and Extension Center (Va Tech),#0,5541b804,Laurie Fox,757-363-3807,-76.179582401652,36.891901387909
Hampton Roads Alliance for Environmental Education (HRAEE),#0,5541b804,K. Grauberger,(757) 420-8300,-76.281994849369,36.878768202707
Hampton Roads Planning District Commission,#0,5541b804,Julia Hillegass,757-420-8300,-76.235299212911,36.789578193933
Hampton Roads Sanitation District (HRSD),#0,5541b804,Erwin Bonatz,757-460-2261,-76.187191071981,36.896402562848
Hanover Academy,#0,5541b804,Michele Huff,804-798-8413,-77.454523514625,37.760681435603
Hanover Juvenile Correction Center (VaN School),#0,5541b804,Carolyn Ross,804-537-5316,-77.340505455654,37.753985890103
Hanover Parks and Recreation Department,#0,5541b804,Greg Sager,804-365-4690,-77.433373217998,37.755295723811
Harrisonburg City Public Schools,#0,5541b804,Andy Jackson,540-434-4801,-78.869344056798,38.44648438266
"Harrisonburg, City of",#0,5541b804,Harsit Patel,540-434-5928,-78.890706748092,38.418513765803
Hartwood Elementary,#0,5541b804,Leslie Lausten,540-752-4441,-77.539008143236,38.38368503487
Healing Harvest Forest Foundation,#0,5541b804,Jason Rutledge,540-651-6355,-80.143064379838,37.058761946129
"Health (VA), Department of",#0,5541b804,Maureen Dempsey,804-646-7473,-77.43175443529,37.537183899015
Hemlock Overlook Regional Park,#0,5541b804,Anna Birch,800-877-0954,-77.409621476723,38.770190267662
"Henrico County Div. of Recreation and Parks, Outdoor Recreation",#0,5541b804,Recreation & Parks,804 - 501-5147,-77.509571590435,37.628341919072
Henrico County Extension Service,#0,5541b804,Karen Carter,804-501-5160,-77.509570525217,37.628342291423
Henry Clay Elementary School (VaN School),#0,5541b804,Teresa Keck,804-365-8139,-77.4867274401,37.75620513076
Henry County Parks & Recreation,#0,5541b804,Andy Mabe,276-634-4640,-79.89297336248,36.742440789128
Heritage Elementary School,#0,5541b804,Sharon Anderson,434-384-5150,-79.143658813584,37.413062050488
Hidden Valley Middle School (VaN School),#0,5541b804,Ken Nicely,540-772-7570,-80.028391293156,37.254621653821
Highland Park Elementary School,#0,5541b804,Sarah Copenhaver,540-397-1020,-79.940049004146,37.283447960376
"Hill City Master Gardener Association, The",#0,5541b804,Bill Morton,434-525-7631,-79.327218883037,37.396904701665
"Historic Resources (VA), Department of",#0,5541b804,Catherine Slusser,804-367-2323,-77.47260764622,37.558316537374
Hoffler Creek Wildlife Foundation,#0,5541b804,Randi Strutton,757-483-6838,-76.400144103117,36.892888341894
Holiday Lake 4-H Educational Center,#0,5541b804,Tamara Arrington,434-248-5444,-78.649456580296,37.393925971531
Holliday Lake State Park,#0,5541b804,"Alison Weddle, Chief Ranger",434-248-6308,-78.640829477076,37.397240392127
Holman's Creek Citizen's Watershed,#0,5541b804,Rodney Bankson,(540) 459-5735,-78.501612583408,38.886588171822
Holston High School,#0,5541b804,Amy Thacker,276-739-4000,-81.794620158441,36.655217172697
Homer L. Hines Middle School,#0,5541b804,"Jacob M. Wilson, III",757-272-9003,-76.493955238258,37.073209667502
Honeywell,#0,5541b804,Evans Drake,804-541-5732,-77.277553030685,37.297682526333
Hopewell Clean City Commission,#0,5541b804,Phillip Elliott,804-541-2293,-77.283389902892,37.303973878754
"Housing & Community Development (VA), Department of",#0,5541b804,"Hollie Cammasasana, Public Relations",804-371-7006,-77.438986884262,37.5398362785
"Howard Gardner School, The",#0,5541b804,Katherine Keith,703-822-9300,-77.118890425439,38.786926552508
Hugh K. Cassell Elementary School,#0,5541b804,Mindy Garber,540-946-7635,-78.869501479073,38.130898878855
Hull Springs Farm Foundation - Longwood University,#0,5541b804,Bobbie Burton,804-472-2621,-76.665654124827,38.121521637591
Hunters Woods Elementary School for the Arts and Sciences (VaN School),#0,5541b804,Emily Cope,703-262-7474,-77.361280149085,38.932612345775
Huntington Middle School,#0,5541b804,Cleo Hollowya,757-928-6846,-76.415022728464,36.989482607967
Hurt Park Elementary School,#0,5541b804,Sarah Copenhaver,540-397-1020,-79.940048747832,37.283446873568
Independence Elementary School,#0,5541b804,Susie Funk,276-773-2832,-81.146244921777,36.62227763362
Independence High School,#0,5541b804,Susie Funk,276-773-2832,-81.146246469273,36.622281355938
Independence Middle School,#0,5541b804,Susie Funk,276-773-2832,-81.146248222091,36.622281745729
Indian River High School,#0,5541b804,Genevieve Wakefield Brosky,757-578-7000,-76.240624607947,36.797670629481
Indian Valley Elementary School (VaN School),#0,5541b804,Chris Hewitt,540-745-9420,-80.539165440719,36.916545446088
Interstate Commission on the Potomac River Basin (ICPRB),#0,5541b804,James Cummins,301-984-1908 ext. 106,-77.152756945645,39.084001247404
Isle Be Green,#0,5541b804,Rachel Chieppa,757-357-6126,-76.708796742232,36.908497970294
Ivy Creek Foundation - Ivy Creek Natural Area,#0,5541b804,Karen Joyner,434-973-7772,-78.492421368785,38.091967656391
"Izaak Walton League of America, Inc. - Gaithersburg, MD",#0,5541b804,Leah Miller,301-548-0150 ext. 219,-77.219985948765,39.120335430062
"Izaak Walton League, Virginia Chapter",#0,5541b804,"Mike Phillips, Division Director",540-636-2103,-78.115546231413,38.941699868465
J Michael Lunsford Middle School,#0,5541b804,Neil Slevin,703-722-2660,-77.527546269806,38.909101732069
James Breckinridge Middle School,#0,5541b804,Jonathan Pait,540-853-2859,-79.940049883284,37.283444094877
James City Clean Commission,#0,5541b804,Jim Hill,757-565-0971,-76.832384764319,37.303810899083
James City County Division of Parks and Recreation,#0,5541b804,Andrea Johnson,757-259-5412,-76.733829580666,37.285701740541
James City County Solid Waste/Recycling,#0,5541b804,Jim Hill,(757) 565-0971,-76.81837186213,37.325530203675
James City Service Authority,#0,5541b804,Beth Davis,757-253-6859,-76.680661689548,37.245317045177
James City Stormwater Program,#0,5541b804,Suzanne Dyba,757-259-1460,-76.733392285395,37.285610265642
James L. Camp YMCA,#0,5541b804,Sarah Strader,,-76.94488077664,36.687943001318
James Madison Middle School,#0,5541b804,Jonathan Pait,540-853-2859,-79.940052918587,37.283445761351
James River Advisory Council (JRAC),#0,5541b804,Kim Conley,804-748-1567,-77.507750463078,37.376831779482
James River Association,#0,5541b804,William Street,804-788-8811,-77.434019876799,37.536211546511
James River Fishing School,#0,5541b804,Mike Ostrander,804-938-2350,-77.520681288963,37.548911847317
James River Green Building Council,#0,5541b804,Megan Miller,804-440-0599,-77.481984217266,37.574415203475
James River High School,#0,5541b804,Charles Larocca,804-378-2420,-77.648296003856,37.551289182158
James River Outdoor Coalition (JROC),#0,5541b804,Greg Velzy,804-748-1124,-77.418914927915,37.520209889968
James River State Park,#0,5541b804,Leslie Tinder,434-933-4355,-78.847793959127,37.545495645421
Jamestown 4-H Educational Center,#0,5541b804,Marlie Smith,757-253-4931,-76.787862509313,37.230813688241
JEB Stuart Elementary School,#0,5541b804,Johna Vazquez,804-862-7090,-77.387039232493,37.202830612455
Jefferson Houston Elementary School,#0,5541b804,Dr. Tammy L. Mann,703-549-0111,-77.0472477428,38.801162831932
John Battle High School,#0,5541b804,Jeff Hawkins,276-642-5300,-82.102960163377,36.643177332884
John Gandy Elementary School,#0,5541b804,Terry Dixson,804-365-4640,-77.469018807696,37.770872322519
John Handley High School,#0,5541b804,Dr. V. Douglas Joyner,540-667-4253,-78.174352319671,39.177236434212
John Wayland Elementary,#0,5541b804,David Burchfield,540-828-6081,-78.959627774305,38.395068838053
"Joseph P. King, Jr. Middle School",#0,5541b804,Linda G. Staylor,434-298-7847,-76.923732752254,36.677203175369
Kate Collins Middle School,#0,5541b804,Tyrell D. McElroy,540-241-6011,-78.895283757122,38.081590783928
Kauffman Foundation,#0,5541b804,Bonnie Kaufmann,540) 743-2664,-78.459753023092,38.662205507101
Kecoughtan High School Ecology Club,#0,5541b804,Sally Lewis,757-850-5000,-76.317646663951,37.05487033878
Keep Bristol Beautiful,#0,5541b804,Kathy Lowdermilk,423-989-4850,-82.189128816003,36.594608702533
Keep Buchanan County Beautiful Litter Committee,#0,5541b804,Danny Davis,276-498-4403,-82.114512921799,36.894072208159
Keep Henrico Beautiful,#0,5541b804,Hallie Boisseau,804-501-7277,-77.515052656148,37.628998683937
Keep Loudoun Beautiful,#0,5541b804,Tony Hayes,703-777-0187,-77.56812849927,39.119546114447
"Keep Nelson Beautiful, Nelson County Department of Waste Management",#0,5541b804,Susan McSwain,434-263-7098,-78.869687875065,37.760410390692
Keep Norfolk Beautiful,#0,5541b804,John Deuel,757-441-1347,-76.281994477784,36.878766123575
Keep Southwest Virginia Beautiful,#0,5541b804,Bobby Justus,276-889-8145,-82.068531962542,36.906231708586
Keep Suffolk Beautiful,#0,5541b804,Hattie Lester,757-514-4012,-76.603475250338,36.696498037391
Keep Virginia Beautiful,#0,5541b804,Mike Baum,(804) 665-2908,-77.580568844878,37.650388912106
Keep Wise County Beautiful,#0,5541b804,Greg Cross,276-328-1000,-82.579672746625,36.977425165119
Kemps Landing Magnet School,#0,5541b804,Charles Foster,757-648-4650,-76.13850392107,36.857489159001
Kenmore Middle School,#0,5541b804,Liz Castillo,703-228-6800,-77.131449497204,38.864071828159
Kersey Creek Elementary School,#0,5541b804,Dr. Deborah Waters,804-723-3440,-77.389916674196,37.688391020402
"Kids In the Valley, Adventuring!",#0,5541b804,Chip and Ashley Donahue,540-580-3015,-80.02112625702,37.302641649562
"Kilmarnock, Town of",#0,5541b804,Marshall Sebra,804-435-1552,-76.386007354782,37.723510729925
King and Queen Elementary School,#0,5541b804,Linda G. Staylor,434-298-7847,-76.877211009957,37.67045913281
King William County Planning Department,#0,5541b804,Ryan Fletcher,804-769-4978,-77.012255306149,37.690126691681
King William/West Point Litter Prevention Program,#0,5541b804,Mary Walton,804-769-4917,-77.012255471208,37.690125044127
Kush-Hara Farm and Goat Dairy- School of Sustainable Living,#0,5541b804,Tom and Liane Young,540-854-7114,-77.866669368753,38.298277599774
Laburnum Elementary School (Henrico),#0,5541b804,Mrs. Lowery,804-228-2720,-77.428464093122,37.596046478357
Lafayette-Winona Middle School,#0,5541b804,LaDonna Gardner,757-441-2400 ext. 235,-76.290580361271,36.853644590824
Lake Anna Civic Association,#0,5541b804,Kenneth Remmers,703-968-2430,-77.908606062809,38.010697210507
Lake Taylor Middle School,#0,5541b804,LaDonna Gardner,757-441-2400 ext. 235,-76.290575990662,36.853641376258
Lancaster Middle School,#0,5541b804,Janet Lundin,804-435-1681,-76.38293605613,37.714650313382
Lancaster Primary School,#0,5541b804,Dr. Holly Wargo,804-435-3196,-76.415107191697,37.752309182544
"Lands and Waters, Inc.",#0,5541b804,Jeanette Stewart,571-294-3646,-77.222427582847,38.870035856325
Larkspur Middle School(VaN School),#0,5541b804,Matthew Delaney,757-648-4800,-76.14084913842,36.814981665244
Lavender Fields Farm,#0,5541b804,Stan/Nicole Schermerhorn,804-262-7167,-77.476912621559,37.680803590845
Lawson-Marriott Elementary School,#0,5541b804,Linda G. Staylor,434-298-7847,-76.877211505767,37.670457156704
Leesylvania State Park,#0,5541b804,,(703) 730-8205,-77.26135450065,38.593010176059
Leonard A. Gerau Center for Applied Technology and Career Exploration,#0,5541b804,Kevin Bezy,540-483-5446,-79.895291189049,37.014475957408
Lewis Ginter Botanical Garden,#0,5541b804,Randee Humphrey,804-262-9887x 326,-77.470864632884,37.620167900125
Library of Virginia,#0,5541b804,Mark Howell,804-692-3500,-77.433880812241,37.541082487437
Lincoln Terrace Elementary School,#0,5541b804,Sarah Copenhaver,540-397-1020,-79.940050056363,37.283446313459
Linkhorne Elementary School,#0,5541b804,Lindsay Johnson,434-384-6611,-79.14365807304,37.413063277211
Linkhorne Middle School,#0,5541b804,Vicki B. Hubbard,434-384-5150,-79.143658473438,37.413065705328
Living Classrooms,#0,5541b804,Jessica Richards,410-685-0295,-76.59657948335,39.282312795599
Lorien Wood School,#0,5541b804,Ms. Amy Imbody,703-854-1640,-77.227489911798,38.901775127492
Loudoun County Citizens for a Sustainable Society (LCCSS),#0,5541b804,Gina Faber,540-338-2574,-77.563598468404,39.11566518871
Loudoun Heritage Farm Museum,#0,5541b804,Katie Eichler,571-258-3800,-77.403589458311,39.015910996879
Loudoun Valley High School,#0,5541b804,Liam McGranaghan,(540) 751-2400,-77.700337985905,39.140966134088
Loudoun Watershed Watch,#0,5541b804,David Ward,,-77.662446336314,39.243212793853
Louisa County Clean Community Commission,#0,5541b804,Cindy Moore,540-967-3462,-78.003292018639,38.023679702765
Louisa Middle School (VaN School),#0,5541b804,,540-894-5457,-77.92326641091,38.021213913453
Lucille Murray Brown Middle School,#0,5541b804,Helena Easter,804-780-7710,-77.514188779674,37.521956565551
Lucy Addison Middle School,#0,5541b804,Jonathan Pait,540-853-2859,-79.940051514474,37.283444924058
Lunenburg Middle School,#0,5541b804,MeriPage Spencer,434-676-2467,-78.130890248826,36.962827480136
Luray Elementary School,#0,5541b804,Chadwick Hensley,540-743-4078,-78.455393985886,38.659419541243
Luray High School,#0,5541b804,Delynda Hendricks,540-743-3800,-78.485313532253,38.654935852027
Lynchburg Bird Club,#0,5541b804,Thelma Dalmas,434-821-1136,-79.216888712185,37.202938834164
Lynchburg Community Market,#0,5541b804,Jennifer Kennedy,434-455-4485,-79.14019200408,37.411588675044
Lynchburg Grows,#0,5541b804,,434-846-5665,-79.16652735016,37.390853247636
Lynchburg Parks and Recreation,#0,5541b804,Laura Rogers,434-455-5858,-79.164844149652,37.402591326039
"Lynchburg Waste Management , City of",#0,5541b804,David Owen,434-455-6335,-79.159208588034,37.409011245138
Lynnhaven River Now,#0,5541b804,Karen Forget,757-962-5398,-76.140412084566,36.895210113688
MacCallum More Museum and Gardens,#0,5541b804,Brenda Arriaga,434-372-0502,-78.456175883758,36.801853256289
Madison County 4-H,#0,5541b804,Kelly Mallory,540-948-6881,-78.258182671799,38.379658262678
"Manassas Park, City of",#0,5541b804,Laura Coughanour,703-393-0881,-77.47412198655,38.781869546916
"Manassas, City of - Public Works Department",#0,5541b804,Susan (Sue) E. Lhotka,703-257-8252,-77.47027340131,38.750912552274
Manchester High School (VaN School),#0,5541b804,Pete Koste,804-739-6275,-77.623255312179,37.406914420667
Manchester Middle School (VaN School),#0,5541b804,Sarah Fraher,804-674-1385,-77.529368732201,37.467151622213
"Marine and Environmental Science Department, Hampton University",#0,5541b804,George Burbanck,757-727-5752,-76.342930800111,37.025820608167
Marine Resources Commission,#0,5541b804,Bill Pruitt,757-247-2265,-76.43075422701,36.97869980908
"Marine Science Consortium, The",#0,5541b804,Amber Parker,757-824-5636,-75.48426973201,37.934195103056
Mariners Museum,#0,5541b804,Ashley Ruhl,757-591-7745,-76.490018630974,37.055222882737
Marion Primary School (VaN School),#0,5541b804,Sally Moorer,276-873-3021,-81.501571836195,36.840268863816
Marstella Middle School (VaN School),#0,5541b804,Roberta Kneeter,703-368-8134,-77.485099566078,38.764814815086
Martin Luther King Middle School,#0,5541b804,Sandra Hayward-Jones,804-780-8011,-77.419999641512,37.542775816094
Martinsville Middle School,#0,5541b804,Chandra Prillaman,276-403-5886,-79.869269420446,36.687232232412
Mary Munford Elementary,#0,5541b804,Paula Katz,804-780-6267,-77.499576776729,37.563758662337
Mason Neck State Park,#0,5541b804,David Stapleton,703-339-2384,-77.199003618127,38.643913377701
Mason's Cove Elementary School (VaN School),#0,5541b804,Phyllis Satterfield,540-687-6530,-80.06088493789,37.365725033834
Massaponax High School,#0,5541b804,Fernanda Kain,540-710-0419,-77.509430752578,38.181124840822
MathScience Innovation Center,#0,5541b804,Robin Newton,804-343-6525,-77.399206466214,37.556400904855
Mattaponi Canoe & Kayak,#0,5541b804,Garrie Grouse,804-769-1449,-77.171518659119,37.802461302123
Mattaponi Heritage Foundation,#0,5541b804,Carl Custalow,804-769-4508,-76.91400349297,37.662371829396
Maury River Middle School,#0,5541b804,Paige Crawford,540-577-9500,-79.474818187399,37.846926878962
Maymont Nature Center/Maymont Foundation,#0,5541b804,Kate Quarles,804-358-7166 x 325,-77.477381415382,37.535823758093
McGaheysville Elementary School,#0,5541b804,Rebecca Roadcap,540-289-3004,-78.735505714393,38.373459364856
McHarg Elementary School,#0,5541b804,Eric L. Bucey,540-633-6270,-80.571263669002,37.121682146215
Meadows of Dan Elementary School (VaN School),#0,5541b804,Jeannie King,540-952-2424,-80.400830111686,36.736707807419
Meadowview Biological Research Station,#0,5541b804,"Mr. Phil Sheridan, Director",804-633-4336,-77.388022757074,38.146148073185
Meadowview Elementary School,#0,5541b804,Beth Litz,276-739-3900,-81.857427347805,36.751222283919
Mecklenburg County Science Program K - 12,#0,5541b804,Karla Gravitt,434-738-6111,-78.411864386307,36.663840359929
Mid-Atlantic Highlands Action Program/VA Liaison & Cooper Conservation Advisorys,#0,5541b804,Faye C. Cooper,540-414-5495,-79.064034167104,38.154793502248
Mid-Atlantic Solid Waste Consultants (MSW Consultants),#0,5541b804,Kristian Ferguson,703-942-6307,-77.428314041081,38.317990392397
Middle James Roundtable,#0,5541b804,Taylor Ward,(804) 527-4498,-77.568048841174,37.670933680286
Middlesex County 4-H,#0,5541b804,David Moore,804-758-4120,-76.594532804479,37.606773137938
