X,Y,OBJECTID,CIP_ID,MAJOR_SECT,PROJECT_CL,RESPONSIBL,CIP_TITLE,HOUSE_DIST,COUNCIL_DIST,SENATE_DIST
-76.077427865953993,36.869759538906578,144,8-016,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,GILLS COVE NEIGHBORHOOD DREDGING,82,,
-75.95459934506728,36.743019592681755,145,2-078,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,SANDBRIDGE AREA ACESS IMPROVEMENTS,81,,
-75.944219767405116,36.744831350317966,146,9-001,ECONOMIC VITALITY,ECONOMIC AND TOURISM,STRATEGIC GROWTH AREA,SANDBRIDGE MARKET RESTROOMS,81,,
-75.990919076420596,36.843480772201701,147,9-015,ECONOMIC VITALITY,ECONOMIC AND TOURISM,ECONIMIC AND TOURISM DEVELOPMENT,PROPOSED ARENA INFRASTRUCTURE DEVELOPMENT - ON SITE,81,,
-75.993704214025797,36.843444621554681,148,9-017,ECONOMIC VITALITY,ECONOMIC AND TOURISM,ECONIMIC AND TOURISM DEVELOPMENT,PROPOSED ARENA INFRASTRUCTURE DEVELOPMENT - ON SITE,81,,
-76.111317251120212,36.805197179804239,149,1-005,QUALITY EDUCATION AND LIFELONG LEARNING,SCHOOLS,SCHOOLS,GREEN RUN HIGH COLLEGIATE RENOVATIONS,21,,
-76.006314353454187,36.775173802149688,150,2-003,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,CORPORATE LANDING ROADWAY IMPROVEMENTS,81,,
-76.055813232408212,36.738393619688416,151,2-088,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,WEST NECK ROAD PHASE IV,84,,
-76.089328760312739,36.780234067639121,152,7-034,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,STORMWATER OPERATIONS MODULAR BUILDING,84,,
-76.094737001903766,36.770500679158502,153,6-043,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,LANDSTOWN ROAD SEWER IMPROVEMENTS,21,,
-76.095283403073651,36.770873144698811,154,5-043,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,LANDSTOWN ROAD WATER IMPROVEMENTS,21,,
-76.09553016309566,36.762370700211811,155,4-039,CULTURAL AND RECREATIONAL OPPORTUNITIES,PARKS AND RECREATION,PARKS AND RECREATION,PAAC MULTI-PURPOSE ATHLETIC FIELD RENOVATION,21,,
-76.058223721335963,36.752746134230343,156,3-065,QUALITY PHYSICAL ENVIRONMENT,BUILDINGS,PUBLIC WORKS,CENTRAL PLANT GENERATOR,84,,
-76.075181722010839,36.859233954090548,157,8-505,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,HURDS COVE DREDGING,82,,
-76.062475542797117,36.905956029847488,158,7-032,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,FLOOD MITIGATION ASSISTANCE GRANT PROGRAM,82,,
